No,Level,Nama Level,Nama Dokumen,Tentang:,Nomor,Tahun 
1,5,PERMEN,5.1,PENYERTAAN MODAL DALAM PERUSAHAAN INDUK (HOLDING),12,1999
2,5,PERMEN,5.2,PELIMPAHAN KEWENANGAN PEMBERIAN PERSETUJUAN DAN PENGENDALIAN PENANAMAN MODAL DI DALAM KAWASAN PENGEMBANGAN EKONOMI TERPADU PULAU NATUNA KEPADA KETUA BADAN PENGELOLA PENGEMBANGAN PULAU NATUNA,33,1998
3,5,PERMEN,5.3,PEDOMAN DAN TATA CARA PERMOHONAN PENANAMAN MODAL YANG DIDIRIKAN DALAM RANGKA PENANAMAN MODAL DALAM NEGERI DAN PENANAMAN MODAL ASING,38,1999
4,5,PERMEN,5.4,ORGANISASI DAN TATA KERJA STAF MENTERI NEGARA LINGKUNGAN HIDUP,9,2001
5,5,PERMEN,5.5,RENCANA STRATEGIS KEMENTERIAN KOORDINATOR BIDANG KEMARITIMAN DAN INVESTASI TAHUN 2020 ? 2024,6,2020
6,5,PERMEN,5.6,SISTEM KLASIFIKASI KEAMANAN DAN AKSES ARSIP DINAMIS KEMENTERIAN KOORDINATOR BIDANG KEMARITIMAN DAN INVESTASI,1,2022
7,5,PERMEN,5.7,PEDOMAN KERJA SAMA DI KEMENTERIAN KOORDINATOR BIDANG KEMARITIMAN DAN INVESTASI,2,2021
8,5,PERMEN,5.8,"PEDOMAN PENGURUSAN, PERTANGGUNGJAWABAN DAN PENGAWASAN KEUANGAN DAERAH SERTA TATA CARA PENYUSUNAN ANGGARAN PENDAPATAN DAN BELANJA DAERAH, PELAKSANAAN TATA USAHA KEUANGAN DAERAH DAN PENYUSUNAN PERHITUNGAN ANGGARAN PENDAPATAN DAN BELANJA DAERAH MENTERI DALAM NEGERI REPUBLIK INDONESIA,",29,2002
9,5,PERMEN,5.9,PEDOMAN PENGELOLAAN INVESTASI PEMERINTAH DAERAH,52,2012
10,5,PERMEN,5.1,PEMBENTUKAN TIM EVALUASI KEMANFAATAN KEGIATAN PEMBANGUNAN SEKTOR TRANSPORTASI DI LINGKUNGAN KEMENTERIAN PERHUBUNGAN TAHUN ANGGARAN 2015,45,2015
11,5,PERMEN,5.11,TARIF LAYANAN BADAN LAYANAN UMUM PUSAT INVESTASI PEMERINTAH PADA KEMENTERIAN KEUANGAN,1,2021
12,5,PERMEN,5.12,LAPORAN KEUANGAN DANA PENSIUN MENTERI KEUANGAN REPUBLIK INDONESIA,509,2002
13,5,PERMEN,5.13,INVESTASI DANA PENSIUN MENTERI KEUANGAN REPUBLIK INDONESIA,511,2002
14,5,PERMEN,5.14,PENAMBAHAN INVESTASI PEMERINTAH REPUBLIK INDONESIA PADA LEMBAGA KEUANGAN INTERNASIONAL TAHUN ANGGARAN 2022,183,2022
15,5,PERMEN,5.15,PENILAIAN USULAN INDIKASI KEBUTUHAN DANA PENGELUARAN BENDAHARA UMUM NEGARA BAGIAN ANGGARAN PENGELOLAAN INVESTASI PEMERINTAH,218,2020
16,5,PERMEN,5.16,PENAMBAHAN INVESTASI PEMERINTAH REPUBLIK INDONESIA PADA LEMBAGA KEUANGAN INTERNASIONAL TAHUN ANGGARAN 2019,50,2019
17,5,PERMEN,5.17,TATA CARA INVESTASI PEMERINTAH,53,2020
18,5,PERMEN,5.18,ORGANISASI DAN TATA KERJA PUSAT INVESTASI PEMERINTAH,91,2017
19,5,PERMEN,5.19,STANDAR PELAYANAN MINIMUM PUSAT INVESTASI PEMERINTAH,103,2019
20,5,PERMEN,5.2,TATA CARA PENGALIHAN HARTA WAJIB PAJAK KE DALAM WILAYAH NEGARA KESATUAN REPUBLIK INDONESIA DAN PENEMPATAN PADA INSTRUMEN INVESTASI DI PASAR KEUANGAN DALAM RANGKA PENGAMPUNAN PAJAK,119,2016
21,5,PERMEN,5.21,SISTEM AKUNTANSI DAN PELAPORAN KEUANGAN INVESTASI PEMERINTAH,209,2015
22,5,PERMEN,5.22,PENYAMPAIAN LAPORAN KEUANGAN BENDAHARA UMUM NEGARA INVESTASI PEMERINTAH TINGKAT UNIT AKUNTANSI KUASA PENGGUNA ANGGARAN PADA KEMENTERIAN BADAN USAHA MILIK NEGARA,231,2017
23,5,PERMEN,5.23,TIM PENGEMBANGAN SISTEM PELAYANAN INFORMASI DAN PERIZINAN INVESTASI SECARA ELEKTRONIK MENTERI KOORDINATOR BIDANG PEREKONOMIAN,45,2007
24,5,PERMEN,5.24,PERUBAHAN ATAS KEPUTUSAN MENTERI KOORDINATOR BIDANG PEREKONOMIAN SELAKU KETUA HARIAN TIM NASIONAL PENINGKATAN EKSPOR DAN PENINGKATAN INVESTASI NOMOR : KEP-34/M.EKON/07/2007 TENTANG SEKRETARIAT TIM NASIONAL PENINGKATAN EKSPOR DAN PENINGKATAN INVESTASI MENTERI KOORDINATOR BIDANG PEREKONOMIAN SELAKU KETUA HARIAN TIM NASIONAL PENINGKATAN EKSPOR DAN PENINGKATAN INVESTASI,23,2008
25,5,PERMEN,5.25,BESARAN JUMLAH TENAGA KERJA DAN NILAI INVESTASI UNTUK KLASIFIKASI USAHA INDUSTRI,64,2016
