index,no,keypoint
1,3,"Menjelaskan tentang beberapa jenis pendapatan yang relevan dengan Pemerintah Daerah. Pendapatan Asli Daerah (PAD) bertujuan memberikan kewenangan kepada Pemerintah Daerah untuk mendanai pelaksanaan otonomi daerah sesuai dengan potensi wilayahnya. Selain itu, Dana Perimbangan bertujuan mengurangi kesenjangan fiskal antara Pemerintah Pusat dan Pemerintahan Daerah serta antara Pemerintahan Daerah sendiri. Pasal ini juga menyebutkan tentang Pinjaman Daerah yang dapat digunakan sebagai sumber pembiayaan dalam menjalankan urusan pemerintahan daerah. Terakhir, pasal ini mencantumkan bahwa ada pendapatan lain yang dapat diperoleh oleh Pemerintah Daerah selain PAD, Dana Perimbangan, dan Pinjaman."
2,11,"Pasal ini menjelaskan sumber Dana Bagi Hasil yang berasal dari pajak dan sumber daya alam. Dana Bagi Hasil dari pajak berasal dari Pajak Bumi dan Bangunan (PBB), Bea Perolehan Hak atas Tanah dan Bangunan (BPHTB), serta Pajak Penghasilan (PPh) Pasal 25 dan Pasal 29 Wajib Pajak Orang Pribadi Dalam Negeri dan PPh Pasal 21. Sementara Dana Bagi Hasil dari sumber daya alam berasal dari kehutanan, pertambangan umum, perikanan, pertambangan minyak bumi, pertambangan gas bumi, dan pertambangan panas bumi."
3,14,"Pasal ini mengatur pembagian penerimaan negara yang berasal dari sumber daya alam antara Pemerintah dan Daerah. Pembagian tersebut berlaku untuk penerimaan kehutanan, pertambangan umum, perikanan, pertambangan minyak bumi, pertambangan gas bumi, dan pertambangan panas bumi berdasarkan persentase tertentu untuk masing-masing pihak."
4,21,"Pasal ini mengatur pembagian Dana Bagi Hasil dari Penerimaan Pertambangan Panas Bumi. Dari Penerimaan Pertambangan Panas Bumi, 16% diberikan kepada provinsi, 32% diberikan kepada kabupaten/kota penghasil, dan 32% dibagi rata untuk kabupaten/kota lainnya dalam provinsi yang bersangkutan."
5,31,Pasal ini menjelaskan cara perhitungan DAU untuk daerah kabupaten/kota yang mirip dengan perhitungan untuk daerah provinsi.
6,33,Pasal ini menyatakan bahwa data untuk menghitung kebutuhan fiskal dan kapasitas fiskal diambil dari lembaga statistik pemerintah atau lembaga berwenang yang dapat dipertanggungjawabkan.
7,37,Pasal ini menyatakan bahwa ketentuan lebih lanjut mengenai DAU diatur dalam Peraturan Pemerintah.
8,43,Pasal ini menjelaskan bahwa Lain-lain Pendapatan terdiri atas pendapatan hibah dan pendapatan Dana Darurat.
9,55,"Pasal ini melarang Daerah memberikan jaminan atas pinjaman pihak lain dan tidak memperbolehkan pendapatan dan barang milik Daerah dijadikan jaminan untuk Pinjaman Daerah. Namun, proyek yang dibiayai oleh Obligasi Daerah dapat dijadikan jaminan untuk Obligasi Daerah tersebut."
10,56,Pasal ini memberikan kewenangan kepada Pemerintah untuk memberikan pinjaman kepada Pemerintah Daerah dari sumber dana luar negeri melalui perjanjian penerusan pinjaman antara Menteri Keuangan dan Kepala Daerah.
11,58,"Pasal ini menjelaskan tentang persyaratan dan prosedur penerbitan Obligasi Daerah, termasuk persetujuan dari DPRD dan Pemerintah serta ketentuan mengenai nilai bersih maksimal Obligasi Daerah yang dapat diterbitkan."
12,66,"Pasal ini menjelaskan prinsip-prinsip pengelolaan keuangan Daerah, termasuk dalam hal penyusunan APBD, penggunaan surplus APBD, dan pengelolaan Dana Cadangan atau penyertaan dalam Perusahaan Daerah."
13,69,"Pasal ini mengatur tentang Rencana Kerja Pemerintah Daerah (RKPD) yang menjadi dasar untuk menyusun Rancangan Anggaran Pendapatan dan Belanja Daerah (RAPBD). RKPD disusun mengacu pada Rencana Kerja Pemerintah sebagai bagian dari sistem perencanaan pembangunan nasional. RKPD menjadi dasar untuk menyusun rancangan APBD, dan RKA SKPD digunakan untuk menjelaskan lebih rinci RKPD."
14,76,"Memuat ketentuan pembuatan Dokumen Pelaksanaan Anggaran oleh Kepala SKPD berdasarkan alokasi anggaran yang ditetapkan oleh Kepala Daerah. Pengguna anggaran berhak memerintahkan pembayaran tagihan atas beban APBD, dan pembayaran tersebut dilakukan oleh bendahara umum Daerah setelah barang/jasa diterima."
15,78,Pasal ini memungkinkan Pemerintah Daerah untuk melakukan kerja sama dengan pihak lain atas dasar prinsip saling menguntungkan. Anggaran yang timbul dari kerja sama tersebut dicantumkan dalam APBD.
16,83,Menteri Keuangan menetapkan batas maksimal jumlah kumulatif defisit APBN dan APBD yang tidak boleh melebihi 3% dari Produk Domestik Bruto tahun bersangkutan. Pasal ini juga mengatur sanksi berupa penundaan penyaluran Dana Perimbangan sebagai akibat dari pelanggaran terhadap ketentuan defisit APBD.
17,91,"Pasal ini menegaskan bahwa semua barang yang diperoleh dari Dana Dekonsentrasi akan menjadi milik Negara. Barang-barang tersebut dapat dihibahkan kepada Daerah jika diperlukan, dan jika dihibahkan, Daerah bertanggung jawab untuk mengelola dan merawat barang tersebut. Jika barang tidak dihibahkan, kementerian negara atau lembaga yang memberikan pelimpahan wewenang akan mengelolanya."
18,93,"Pasal ini menjelaskan bahwa pengawasan terhadap Dana Dekonsentrasi akan dilakukan sesuai dengan peraturan perundang-undangan yang berlaku. Sementara itu, pemeriksaan terhadap Dana Dekonsentrasi akan dilakukan sesuai dengan aturan yang mengatur bidang Pemeriksaan Pengelolaan dan Tanggung Jawab Keuangan Negara."
19,103,"Pasal ini menyatakan bahwa informasi yang dimuat dalam Sistem Informasi Keuangan Daerah harus merupakan data terbuka yang dapat diketahui, diakses, dan diperoleh oleh masyarakat. Hal ini bertujuan untuk memastikan transparansi dan akuntabilitas dalam pengelolaan keuangan daerah."
20,105,Pasal ini menyatakan bahwa peraturan pelaksanaan Undang-Undang Nomor 25 Tahun 1999 tentang Perimbangan Keuangan antara Pemerintah dan Daerah masih berlaku selama belum diganti dengan peraturan pelaksanaan yang baru berdasarkan Undang-Undang ini. Peraturan pelaksanaan harus selesai dalam satu tahun sejak Undang-Undang ini diundangkan.
21,106,"Pasal ini menyatakan tentang pelaksanaan tambahan Dana Bagi Hasil sektor minyak bumi dan gas bumi dimulai tahun anggaran 2009. Selain itu, pembagian penerimaan pertambangan minyak bumi dan gas bumi antara Pemerintah dan Daerah diatur berdasarkan persentase tertentu hingga tahun anggaran 2008."
22,107,"Pasal ini menyatakan bahwa DAU (Dana Alokasi Umum) ditetapkan minimal 25,5% dari Pendapatan Dalam Negeri Neto yang ditetapkan dalam APBN (Anggaran Pendapatan dan Belanja Negara) sejak berlakunya Undang-Undang ini sampai tahun anggaran 2007. Alokasi DAU tersebut akan dilaksanakan sepenuhnya mulai tahun anggaran 2008."
23,112,"Pasal ini menjelaskan bahwa investasi pemerintah daerah bertujuan untuk memperoleh manfaat ekonomi, sosial, dan/atau manfaat lainnya. Manfaat tersebut mencakup keuntungan finansial dalam bentuk deviden, bunga, dan pertumbuhan nilai perusahaan daerah yang menerima investasi, peningkatan berupa jasa dan keuntungan bagi hasil investasi, peningkatan penerimaan daerah akibat investasi, penyerapan tenaga kerja lebih banyak, dan peningkatan kesejahteraan masyarakat."
24,115,Pasal ini menyatakan bahwa pengelolaan investasi pemerintah daerah harus selaras dengan kebijakan pengelolaan investasi secara nasional.
25,118,"Pasal ini menjelaskan kewenangan dan tanggung jawab kepala daerah dalam aspek supervisi, termasuk melakukan monitoring pelaksanaan investasi pemerintah daerah yang didukung oleh pemerintah daerah lainnya, melakukan evaluasi berkala pelaksanaan investasi, dan melakukan koordinasi pelaksanaan investasi dengan instansi terkait, terutama investasi langsung."
