no:,name_docs:,legal_hierarchy:,legal_name:,number:,year:,reference:,tittle:,bab:,bab about:,bab index:,keypoint:
1,UUD45.pdf,1,UUD 1945,,1945,,UUD 1945,1,BENTUK DAN KEDAULATAN,1,"Bentuk Negara Indonesia: Negara Indonesia adalah negara kesatuan yang berbentuk Republik. Artinya, Indonesia merupakan negara yang terdiri dari berbagai wilayah yang bersatu menjadi satu kesatuan yang berbentuk republik."
1,UUD45.pdf,1,UUD 1945,,1945,,UUD 1945,1,BENTUK DAN KEDAULATAN,2,"Kedaulatan Rakyat: Kedaulatan berada di tangan rakyat, yang berarti kekuasaan tertinggi berada pada rakyat Indonesia. Kedaulatan ini dilaksanakan sepenuhnya oleh Majelis Permusyawaratan Rakyat (MPR). MPR merupakan lembaga tertinggi dalam negara yang mewakili rakyat dan memiliki peran penting dalam mengambil keputusan-keputusan strategis untuk negara."
1,UUD45.pdf,1,UUD 1945,,1945,,UUD 1945,2,MAJELIS PERMUSYAWARATAN RAKYAT,1,"Komposisi Majelis Permusyawaratan Rakyat: MPR terdiri atas anggota Dewan Perwakilan Rakyat (DPR), ditambah dengan utusan-utusan dari daerah-daerah dan golongan-golongan tertentu, sesuai dengan aturan yang ditetapkan melalui undang-undang. Artinya, MPR merupakan gabungan anggota DPR dan wakil-wakil dari daerah dan golongan tertentu."
1,UUD45.pdf,1,UUD 1945,,1945,,UUD 1945,2,MAJELIS PERMUSYAWARATAN RAKYAT,2,Jangka Waktu Sidang MPR: MPR wajib mengadakan sidang sekurang-kurangnya sekali dalam lima tahun di ibukota negara. Ini berarti MPR harus mengadakan pertemuan setidaknya sekali dalam lima tahun.
1,UUD45.pdf,1,UUD 1945,,1945,,UUD 1945,2,MAJELIS PERMUSYAWARATAN RAKYAT,3,"Penetapan Putusan dengan Suara Terbanyak: Segala putusan yang diambil oleh MPR ditetapkan berdasarkan suara yang paling banyak. Artinya, keputusan yang diambil harus memperoleh dukungan mayoritas suara anggota MPR."
1,UUD45.pdf,1,UUD 1945,,1945,,UUD 1945,2,MAJELIS PERMUSYAWARATAN RAKYAT,4,Menetapkan Undang-Undang Dasar: MPR bertanggung jawab untuk menetapkan dan mengubah Undang-Undang Dasar Negara.
1,UUD45.pdf,1,UUD 1945,,1945,,UUD 1945,2,MAJELIS PERMUSYAWARATAN RAKYAT,5,Menetapkan Garis-Garis Besar Haluan Negara: MPR menetapkan garis-garis besar atau arah kebijakan negara
1,UUD45.pdf,1,UUD 1945,,1945,,UUD 1945,3,KEKUASAAN PEMERINTAH NEGARA,1,Kekuasaan Presiden: Presiden Republik Indonesia memegang kekuasaan pemerintahan sesuai dengan Undang-Undang Dasar.
1,UUD45.pdf,1,UUD 1945,,1945,,UUD 1945,3,KEKUASAAN PEMERINTAH NEGARA,2,Bantuan Wakil Presiden: Presiden dibantu oleh satu orang Wakil Presiden dalam menjalankan tugas-tugasnya.
1,UUD45.pdf,1,UUD 1945,,1945,,UUD 1945,3,KEKUASAAN PEMERINTAH NEGARA,3,Pembentukan Undang-Undang: Presiden memiliki kekuasaan untuk membentuk undang-undang dengan persetujuan Dewan Perwakilan Rakyat (DPR).
