Pasal,Isi Pasal
Pasal 22 ayat (1) Undang-Undang Dasar Negara Republik,"Indonesia Tahun 1945;
MEMUTUSKAN: . . .
SK No 167958 A
MenetapkanPRESIDEN
REPUBUK INDONESIA
-3-
MEMUTUSKAN:
PERATURAN PEMERINTAH PENGGANTI UNDANG-UNDANG
TENTANG CIPTA KERJA.
KETENTUAN UMUM"
Pasal 1,"Cukup jelas.
Angka 2
Pasal24
Hurrf a
Cukup jelas.
Huruf b
Cukup jelas.
Huruf c
Yang dimaksud dengan ""alasan-alasan yang objektil""
adalah alasan-alasan yang diambil berdasarkan fakta
dan kondisi faktual, tidak memihak, dan rasional serta
berdasarkan AUPB.
Huruf d
Cukup jelas.
Hurufe . ..
SK No 097199 A
PRESIDEN
REPUBLIK TNDONESIA
-375-
Huruf e
Yang dimaksud dengan ""iktikad baik"" adalah Keputusan
dan/atau Tindakan yang ditetapkan dan/atau
dilakukan didasarkan atas motif kejujuran dan
berdasarkan AUPB.
Angka 3"
Pasal 2,"Ayat (1)
Hurufa
Huruf bOrang pribadi sebagai subjek pajak dapat
bertempat tinggal atau berada di Indonesia
ataupun di luar Indonesia. Warisan yang belum
terbagi sebagai satu kesatuan merupakan subjek
pajak pengganti, menggantikan mereka yang
berhak yaitu ahli waris. Penunjukan warisan yang
belum terbagi sebagai subjek pajak pengganti
dimaksudkan agar pengenaan pajak atas
penghasilan yang berasal dari warisan tersebut
tetap dapat dilaksanakan.
Badan ada-lah sekumpulan orang dan/atau modal
yang merupakan kesatuan baik yang melakukan
usaha maupun yang tidak melakukan usaha yang
meliputi perseroan terbatas, perseroan komanditer,
perseroan lainnya, badan usaha milik negara atau
badan usaha milik daerah dengan nama dan {alam
bentuk apa pun, firma, kongsi, koperasi, dana
pensiun, persekutuan, perkumpulan, yayasan,
organisasi massa, organisasi sosial politik, atau
organisasi lainnya, lembaga, dan bentuk badan
lainnya termasuk kontrak investasi kolektif dan
bentuk usaha tetap.
Badan usaha milik negara dan badan usaha milik
daerah merupakan subjek pajak tanpa
memperhatikan nama dan bentuknya sehingga
setiap unit tertentu dari badan Pemerintah,
misalnya lembaga, badan, dan sebagainya yang
dimiliki oleh Pemerintah Pusat dan Pemerintah
Daerah yang menjalankan usaha atau melakukan
kegiatan untuk memperoleh penghasilan
merupakan subjek pajak.
Dalam pengertian perkumpulan termasuk pula
asosiasi, persatuan, perhimpunan, atau ikatan dari
pihak-pihak yang mempunyai kepentingan yang
sama.
Huruf c.. .
SK No 096557 A
PRESIDEN
REPUBLIK INDONESIA
-310-
Huruf c
Cukup jelas.
Ayat (1a)
Cukup jelas.
Ayat (2)
Subjek pajak dibeda.kan menjadi subjek pajak dalam
negeri dan subjek pajak luar negeri. Subjek pajak orang
pribadi dalam negeri menjadi Wajib Pajak apabila telah
menerima atau memperoleh penghasilan ya.ng besarnya
melebihi Penghasilan Tidak Kena Pajak. Subjek pajak
badan dalam negeri menjadi Wajib Pajak sejak saat
didirikan, atau bertempat kedudukan di Indonesia.
Subjek pajak luar negeri baik orang pribadi maupun
badan sekaligus menjadi Wajib Pajak karena menerima
dan/ atau memperoleh penghasilan yang bersumber
dari Indonesia atau menerima dan/ atau memperoleh
penghasilan yang bersumber dari Indonesia melalui
bentuk usaha tetap di Indonesia. Dengan perkataan
lain, Wajib Pajak adalah orang pribadi atau badan yang
telah memenuhi kewajiban subjektif dan objektif.
Sehubungan dengan pemilikan Nomor Pokok Wajib
Pajak, Wajib Pajak orang pribadi yang menerima
penghasilan di bawah Penghasilan Tidak Kena Pajak
tidak wajib mendaftarkan diri untuk memperoleh Nomor
Pokok Wajib Pajak.
Perbedaan yang penting antara Wajib Pajak dalam
negeri dan wajib Pajak luar negeri terletak dalam
pemenuhan kewajiban pajaknya, antara lain:
a. Wajib Pajak dalam negeri dikenai pajak atas
penghasilan baik yang diterima atau diperoleh dari
Indonesia maupun dari luar Indonesia, sedangkan
Wajib Pajak luar negeri dikenai pajak hanya atas
penghasilan yang berasal dari sumber penghasilan
di Indonesia;
b. Wajib Pajak dalam negeri dikenai pajak
berdasarkan penghasilan neto dengan tarif umum,
sedangkan Wajib Pajak luar negeri dikenai pajak
berdasarkan penghasilan bruto dengan tarif pajak
sepadan; dan
c. Wajib Pajak. . .
SK No 096558 A
PRESIDEN
REPUALIK INDONESIA
- 311 -
c. Wajib Pajak dalam negeri wajib menyampaikan
Surat Pemberitahuan Tahunan Pajak Penghasilan
sebagai sarana untuk menetapkan pajak yang
terutang dalam suatu tahun pajak, sedangkan
Wajib Pajak luar negeri tidak wajib menyampaikan
Surat Pemberitahuan Tahunan Pajak Penghasilan
karena kewajiban pajaknya dipenuhi melalui
pemotongan pajak yang bersifat final.
Bagi Wajib Pajak luar negeri yang menjalankan usaha
atau melakukan kegiatan melalui bentuk usaha tetap di
Indonesia, pemenuhan kewajiban perpajakannya
dipersamakan dengan pemenuhan kewajiban
perpajakan wajib Pajak badan dalam qegeri
sebagaimana diatur dalam Undang-Undang ini dan
Undang-Undang yang mengatur mengenai ketentuan
umum dan tata cara perpajakan.
Ayat (3)
Huruf a
Huruf bPada prinsipnya orang pribadi yang menjadi subjek
pajak dalam negeri adalah orang pribadi yang
bertempat tinggal atau berada di Indonesia.
Termasuk dalam pengertian orang pribadi yang
bertempat tinggal di Indonesia adalah mereka yang
mempunyai niat untuk bertempat tinggal di
Indonesia. Apakah seseorang mempunyai niat
untuk bertempat tinggal di Indonesia ditimbang
menurut keadaan.
Keberadaan orang pribadi di Indonesia lebih dari
183 (seratus delapan puluh tiga) hari tidaklah
harus berturut-turut, tetapi ditentukan oleh
jumlah hari orang tersebut berada di Indonesia
dalam jangka waktu 12 (dua belas) bulan sejak
kedatangannya di Indonesia.
SK No 096559 ACukup jelas
Huruf c.. .
PRESIDEN
REPUBLIK INDONESIA
-3t2-
Hurrf c
Warisan yang belum terbagi yang ditinggalkan oleh
orang pribadi subjek pajak dalam negeri dianggap
sebagai subjek pajak dalam negeri dalam
pengertian Undang-Undang ini mengikuti status
pewaris. Adapun untuk pelaksanaan pemenuhan
kewajiban perpajakannya, warisan tersebut
menggantikan kewajiban ahli waris yang berhak.
Apabila warisan tersebut telah dibagi, kewajiban
perpajakannya beralih kepada ahli waris.
Warisan yang belum terbagi yang ditinggalkan oleh
orang pribadi sebagai subjek pajak luar negeri yang
tidak menjalankan usaha atau melakukan
kegiatan melalui suatu bentuk usaha tetap di
Indonesia, tidak dianggap sebagai subjek pajak
pengganti karena pengenaan pajak atas
penghasilan yang diterima atau diperoleh orang
pribadi dimaksud melekat pada objeknya.
Ayat$l
Subjek pajak luar negeri adalah orang pribadi atau
badan yang bertempat tinggal atau bertempat
kedudukan di luar Indonesia yang dapat menerima atau
memperoleh penghasilan dari Indonesia, baik melalui
maupun tanpa melalui bentuk usaha tetap. Orang
pribadi yang tidak bertempat tinggal di Indonesia, tetapi
berada di Indonesia tidak lebih dari 183 (seratus
delapan puluh tiga) hari dalam jangka waktu 12 (dua
belas) bulan maka orang tersebut adalah subjek,pajak
luar negeri.
Apabila penghasilan diterima atau diperoleh melalui
bentuk usaha tetap maka terhadap orang pribadi atau
badan tersebut dikenai pajak melalui bentuk usaha
tetap. Orang pribadi atau badan tersebut, statusnya
tetap sebagai subjek pajak luar negeri. Dengan
demikian, bentuk usaha tetap tersebut menggantikan
orang pribadi atau badan sebagai subjek pajak luar
negeri dalam memenuhi kewajiban perpajakannya di
Indonesia. Dalam hal penghasilan tersebut diterima
atau diperoleh tanpa melalui bentuk usaha tetap maka
pengenaan pajaknya dilakukan langsung kepada subjek
pajak luar negeri tersebut.
SK No 096560 AAyat(S)...
PFTES IDEN
REPUBLIK INDONESIA
-313-
Ayat (s)
Suatu bentuk usaha tetap mengandung pengertian
adanya suatu tempat usaha Qtlae of business) yaitu
fasilitas yang dapat berupa tanah dan gedung termasuk
juga mesin-mesin, peralatan, gudang dan komputeratau agen elektronik atau peralatan otofnatis
(automated equipmenf yang dimiliki, disewa, atau
digunakan oleh penyelenggara transaksi elektronik
untuk menjalankan aktivitas usaha melalui internet.
Tempat usaha tersebut bersifat permanen dan
digunakan untuk menjalankan usaha atau melakukan
kegiatan dari orang pribadi yang tidak bertempat tinggal
atau badan yang tidak didirikan dan tidak bertempat
kedudukan di Indonesia.
Pengertian bentuk usaha tetap mencakup pula orang
pribadi atau badan selaku agen yang kedudukannya
tidak bebas yang bertindak untuk dan atas nama orang
pribadi atau badan yang tidak bertempat tinggal atau
tidak bertempat kedudukan di Indonesia. Orang pribadi
yang tidak bertempat tinggal atau badan yang tidak
didirikan dan tidak bertempat kedudukan di Indonesia
tidak dapat dianggap mempunyai bentuk usaha tetap di
Indonesia apabila orang pribadi atau badan dalam
menjalankan usaha atau melakukan kegiatan di
Indonesia menggunakan agen, broker atau perantara
yang mempunyai kedudukan bebas, asalkan agen atau
perantara tersebut dalam kenyataannya bertindaksepenuhnya dalam rangka menjalankan
perusahaannya sendiri.
Perusahaan asuransi yang didirikan dan bertempat
kedudukan di luar Indonesia dianggap mempunyai
bentuk usaha tetap di Indonesia apabila perusahaan
asuransi tersebut menerima pembayaran premi
asuransi atau menanggung risiko di Indonesia melalui
pegawai, perwakilan atau agennya di Indonesia.
Menanggung risiko di Indonesia tidak berarti bahwa
peristiwa yang mengakibatkan risiko tersebut terjadi di
Indonesia. Yang perlu diperhatikan adalah bahwa pihak
tertanggung bertempat tinggal, berada, atau bertempat
kedudukan di Indonesia.
SK No 096561 AAyat(6) ...
PRESIOEN
REPUBLIK INDONESIA
-3t4-
Ang)<a2
Pasal26Ayat (6)
Penentuan tempat tinggal orang pribadi atau tempat
kedudukan badan penting untuk menetapkan Kantor
Pelayanan Pajak mana yang mempunyai yurisdiksi
pemajakan atas penghasilan yang diterima atau
diperoleh orang pribadi atau badan tersebut.
Pada dasarnya tempat tinggal orang pribadi atau tempat
kedudukan badan ditentukan menurut keadaan yang
sebenarnya. Dengan demikian penentuan tempat
tinggal atau tempat kedudukan tidak hanya didasarkan
pada yang bersifat formal, tetapi lebih
didasarkan pada kenyataan.
Beberapa hal yang perlu dipertimbangkan oleh Direktur
Jenderal Pajak dalam menentukan tempat tinggal
seseorang atau tempat kedudukan badan tersebut,
antara lain domisili, alamat tempat tinggal, tempat
tinggal keluarga, tempat menjalankan usaha pokok atau
hal-hal lain yang perlu dipertimbangkan untuk
memudahkan pelaksanaan pemenuhan kewajiban
pajak.
Atas penghasilan yang diterima atau diperoleh Wajib
Pajak luar negeri dari Indonesia, Undang-Undang ini
menganut 2 (dua) sistem pengenaan pajak, yaitu
pemenuhan sendiri kewajiban perpajakannya bagi Wajib
Pajak luar negeri yang menjalankan usaha atau melakukan
kegiatan melalui suatu bentuk usaha tetap di Indonesia dan
pemotongan oleh pihak yang wajib membayar bagi Wajib
Pajak luar negeri lainnya.
Ketentuan ini mengatur tentang pemotongan atas
penghasilan yang bersumber di Indonesia yang diterima
atau diperoleh Wajib Pajak luar negeri selain bentuk usaha
tetap.
Ayat(1)...
SK No 096562 A
PRESIDEN
REPUBLIK INDONESIA
-315-
Ayat (l)
Pemotongan pajak berdasarkan ketentuan ini wajib
dilakukan oleh badan pemerintah, subjek pajak dalam
negeri, penyelenggara kegiatan, bentuk usaha tetap,
atau perwakilan perusahaan luar negeri lainnya yang
melakukan pembayaran kepada Wajib Pajak luar negeri
selain bentuk usaha tetap di Indonesia dengan tarif
sebesar 2Oo/o (dua puluh persen) dari jumlah bruto.
Jenis-jenis penghasilan yang wajib dilakukan
pemotongan dapat digolongkan dalam:
1. penghasilan yang bersumber dari modal dalam
bentuk dividen, bunga termasuk premium,
diskonto, dan imbalan karena jaminan
pengembalian utang, royalti, dan sewa serta
penghasilan lain sehubungan dengan penggunaan
harta;
2. imbalan sehubungan dengan jasa, pekerjaan, atau
kegiatan;
3. hadiah dan penghargaan dengan nama dan dalam
bentuk apa pun;
4. pensiun dan pembayaran berkala lainnya;
5. premi swap dan transaksi lindung nilai lainnya;
dan/atau
6. keuntungan karena pembebasan utang.
Sesuai dengan ketentuan ini, misalnya suatu badan
subjek pajak dalam negeri membayarkan royalti sebesar
Rp10O.0OO.OO0,O0 (seratus juta rupiah) kepada Wajib
Pajak luar negeri, subjek pajak dalam negeri tersebut
berkewajiban untuk memotong Pajak Penghasilan
sebesar 2Oo/o (dua puluh persen) dari Rp100.00O.q00,00
(seratus juta rupiah).
Sebagai contoh lain, seorang atlet dari luar negeri yang
ikut mengambil bagian dalam perlombaan lari maraton
di Indonesia kemudian merebut hadiah uang maka atas
hadiah tersebut dikenai pemotongan Pajak Penghasilan
sebesar 2Oo/o (dua puluh persen).
Ayat (1a) ...
SK No 096563 A
PRESIDEN
REPUBLIK INDONESIA
-316-
Ayat (1a)
Ayat (lb)
Cukup jelas.
Ayat (2)Negara domisili dari Wajib Pajak luar negeri selain yang
menjalankan usaha atau melakukan kegiatan usaha
melalui bentuk usaha tetap di Indonesia yang menerima
penghasilan dari Indonesia ditentukan berdasarkan
tempat tinggal atau tempat kedudukan Wajib Pajak
yang sebenarnya menerima manfaat dari penghasilan
tersebut (beneficial ownet). Oleh karena itu, negara
domisili tidak hanya ditentukan berdasarkan Surat
Keterangan Domisili, tetapi juga tempat tinggal, atau
tempat kedudukan dari penerima manfaat dari
penghasilan dimaksud.
Dalam hal penerima manfaat adalah orang pribadi,
negara domisilinya adalah negara tempat orang pribadi
tersebut bertempat tinggal atau berada, sedangkan
apabila penerima manfaat adalah badan, negara
domisilinya adalah negara tempat pemilik atau lebih
dari 50% (lima puluh persen) pemegang saham baik
sendiri-sendiri maupun bersama-sama berkedudukan
atau efektif manajemennya berada.
Ketentuan ini mengatur tentang pemotongan pajak atas
penghasilan yang diterima atau diperoleh Wajib Pajak
luar negeri yang bersumber di Indonesia, selain dari
penghasilan sebagaimana dimaksud pada ayat (1), yaitu
penghasilan dari penjualan atau pengalihan harta, dan
premi asuransi, termasuk premi reasuransi. Atas
penghasilan tersebut dipotong pajak sebesar 2Oo/o (dlua
puluh persen) dari perkiraan penghasilan neto dan
bersifat linal. Menteri Keuangan diberikan wewenang
untuk menetapkan besarnya perkiraan penghasilan
neto dimaksud, serta hal-hal lain dalam rangka
pelaksanaan pemotongan pajak tersebut.
SK No 096564 AKetentuan . . .
PRESIOEN
REPUBLIK INDONESIA
-3t7 -
Ketentuan ini tidak diterapkan dalam hal Wajib Pajak
luar negeri tersebut menjalankan usaha atau
melakukan kegiatan melalui suatu bentuk usaha tetap
di Indonesia atau apabila penghasilan dari penjualan
harta tersebut telah dikenai pajak berdasarkan
ketentuan Pasal 4 ayat (21.
Ayat (2al
Cukup jelas.
Ayat (s)
Cukup jelas.
Ayat (4)
Atas Penghasilan Kena Pajak sesudah dikurangi pajak
dari bentuk usaha tetap di Indonesia dikenai pajak
sebesar 2Oo/o (dua puluh persen).
Contoh:
Penghasilan Kena Paja-k bentuk
usaha tetap di Indonesia dalam
tahun 2O23:Rp17.5OO.OO0.00O,OO
Pajak Penghasilan:
22o/o x RpLT .500.00O.OO0,OO Ro3.85O.0OO. o00.00t-)
Penghasilan Kena Pajak setelah
pajakRp13.650.O0O.00O,0O
Pajak Penghasilan Pasal 26
yang terutang
20% x Rp13.650.000.000,00 Rp2.730.000.0OO,O0
Apabila penghasilan setelah pajak sebesar
Rp13.65O.0O0.OO0,O0 (tiga belas miliar enam ratus lima
puluh juta rupiah) tersebut ditanamkan kembali di
Indonesia sesuai dengan atau berdasarkan Peraturan
Menteri Keuangan, atas penghasilan tersebut tidak
dikenai pajak.
SK No 096565 AAyat(s)...
PRESIDEN
REPUBLIK INDONESIA
-318-
Ayat (s)
Pada prinsipnya pemotongan pajak atas Wajib Pajak
Iuar negeri adalah bersifat final, tetapi atas penghasilan
sebagaimana dimaksud dalam Pasal 5 ayat (1) huruf b
dan huruf c, dan atas penghasilan Wajib Pajak orang
pribadi atau badan luar negeri yang berubah status
menjadi Wajib Pajak dalam negeri atau bentuk usaha
tetap, pemotongan pajaknya tidak bersifat final
sehingga potongan pajak tersebut dapat dikreditkandalam Surat Pemberitahuan Tahunan Pajak
Penghasilan.
Contoh:
A sebagai tenaga asing orang pribadi membuat
perjanjian kerja dengan PI B sebagai Wajib Pajak dalam
negeri untuk bekerja di Indonesia untuk jangka waktu
5 (lima) bulan terhitung mulai tanggal I Jantari 2023.
Pada tanggal 2O April 2023 perjanjian kerja tersebut
diperpanjang menjadi 8 (delapan) bulan sehingga akan
berakhir pada tanggal 31 Agustus 2023.
Jika perjanjian kerja tersebut tidak diperpanjang, status
A adalah tetap sebagai Wajib Pajak luar negeri. Dengan
diperpanjangnya perjanjian kerja tersebut, status A
berubah dari Wajib Pajak luar negeri menjadi Wajib
Pajak dalam negeri terhitung sejak tanggal 1 Januari
2023. Selama bulan Januari sampai dengan Marel2O23
atas penghasilan bruto A telah dipotong Pajak
Penghasilan Pasal 26 oleh PT B.
Berdasarkan ketentuan ini, untuk menghitung Pajak
Penghasilan yang terutang atas penghasilan A untuk
masa Januari sampai dengan Agustus 2023, Pajak
Penghasilan Pasal 26 yang telah dipotong dan disetor PTB atas penghasilan A sampai dengan Maret 2023
tersebut dapat dikreditkan terhadap pajak A sebagai
Wajib Pajak dalam negeri.
SK No 096566 APasal 112...
PRESIDEN
REPUBLIK INDONESIA
-319-"
Pasal 3,"Ayat(1)...
SK No 096535 A
PFIE S I OEN
REPUBLIK INDONESIA
-301 -
Ayat (1)
Cukup jelas.
Ayat (2)
Ayat (3)
Cukup jelas.
Angka 2"
Pasal 4,"Huruf a
Yang dimaksud dengan ""kawasan lindung"" adalah
wilayah yang ditetapkan dengan fungsi utama
melindungi kelestarian lingkungan hidup yang
mencakup sumber daya alam dan sumber daya buatan.
Hurufb
Yang dimaksud dengan ""mempunyai batas yang jelas""
adalah batas alam (sungai atau laut) atau batas buatan
(pagar atau tembok).
Huruf c
Cukup jelas.
Angka 4"
Pasal 5,"Cukup jelas.
Angka 5"
Pasal 1 1,"Wewenang Pemerintah Daerah kabupaten lkota
dilaksanakan sesuai dengan Dorrn€r; standar, prosedur,
dan kriteria yang ditetapkan oleh Pemerintah Pusat
dalam Penyelenggaraan Penataan Ruang meliputi:
a. pengaturan, pembinaan, dan pengawasan
terhadap Pelaksanaan Penataan Ruang Wilayah
kabupaten lkota;
b. Pelaksanaan Penataan Ruang Wilayah
kabupaten/kota; dan
c. kerja sama Penataan Ruang antarkabupaten/kota.
Ketentuan Pasal 14 diubah sehingga berbunyi sebagai
berikut:"
Pasal 12,"Ayat (1)
Hurrf aAgar Koperasi dapat mewujudkan fungsi dan peran
seperti yang dimaksud dalam Pasal 4 maka Koperasi
melaksanakan usaha di segala bidang kehidupan
ekonomi dan berperan utama dalam kehidupan ekonomi
rakyat. Yang dimaksud dengan ""kehidupan ekonomirakyaf adalah semua kegiatan ekonomi yang
dilaksanakan dan menyangkut kepentingan orang
banyak.
Yang dimaksud dengan ""menyederhanakan tata
cara dan jenis perizinan"" adalah memberikan
kemudahan persyaratan dan tata cara perizinan
serta informasi yang seluas-luasnya.
Yang dimaksud dengan ""sistem pelayanan terpadu
satu pintu"" adalah proses pengelolaan perizinan
usaha yang dimulai dari tahap permohonan sampai
dengan tahap terbitnya dokumen, dilakukan dalam
satu tempat berdasarkan prinsip pelayanan
sebagai berikut:
SK No 097242 Aa. kesederhanaan . . .
PRESlDEN
REPUBLIK INDONESIA
-293-
a. kesederhanaan dalam proses;
b. kejelasan dalam pelayanan;
c. kepastian waktu penyelesaian;
d. kepastian biaya;
e. keamanan tempat pelayanan;
f. tanggung jawab petugas pelayanan;
g. kelengkapan sarana dan prasarana pelayanan;
h. kemudahan akses pelayanan; dan
i. kedisiplinan, kesopanan, dan keramahan
pelayanan.
Huruf b
Cukup jelas.
Ayat (2)
Cukup jelas.
Angka 3"
Pasal 13,"Ayat (1)
Cukup jelas.
SK No097182AAyat(21. ..
PRES!DEN
REPUELIK ]NDONES]A
-358-
Ayat (2)
Materi dan syarat kerja sama meliputi antara lain jangka
waktu kerja sama, pertanggungjawaban terhadap aset
yang berasal dari Pemerintah Pusat, Pemerintah Daerah,
dan swasta, serta hak kepemilikan setelah masa kerja
sama berakhir.
Angka 10"
Pasal 14,"Cukup jelas.
SK No097l69AAngka4...
PRESIOEN
REPUBLIK INDONESIA
-345-
Angka 4"
