Pasal,Isi Pasal
Pasal 1.,"Sub a :Yang dimaksud dana-dana yang tersedia untuk
diperbungakan karena tidak/belum segera diperlukan
untuk memenuhi maksud pemupukannya, ialah semua
bentuk akumulasi keuangan oleh perusahaan/badan
untuk maksud-maksud tertentu yang belum segera
dipakai dalam perusahaan/badan tersebut, termasuk
misalnya jumlah-jumlah premi pertanggungan yang
tidak atau belum dapat ditransfer keluar negeri,
cadangan-cadangan premi dan cadangan tuntutan
penggantian kerugian pada perusahaan-perusahaan
pertanggungan, cadangan-cadangan pada perusahaan-
perusahaan yang menurut anggaran dasarnya harus
diadakan untuk keperluan perluasan atau
penggantian fasilitas-fasilitas, untuk
pembangunan, untuk pembelian/pembayaran kembali
obligasi-obligasi dan saham, cadangan untuk
pensiun pegawai dan cadangan-cadangan lainnya
semacam itu.

Sub b :Dengan perusahaan/badan yang disebut dalam sub b itu
dimaksudkan perusahaan/badan yang lazim dikenal
dengan sebutan badan-badan penanaman modal
institusional seperti perusahaan-perusahaan
pertanggungan, dana-dana pensiun dana-dana sosial,
bank-bank tabungan dan lain sebagainya dan
perusahaan-perusahaan lain pada umumnya yang
menurut ketentuan-ketentuan dalam anggaran
dasarnya harus mengenal cadang-cadangan.

Sub c :Oleh karena sesuatu kebijaksanaan yang ditempuh dalam
hal pembungaan dana-dana investasi ini dapat
berpengaruh kepada keadaan moneter Negara pada
umumnya, maka wewenang untuk mengatur materi
Peraturan Pemerintah Pengganti Undang-undang ini
pada dasarnya diberi pada Menteri Urusan Bank
Sentral sebagai pejabat yang bertanggung jawab
atas kebijaksanaan moneter Pemerintah kecuali yang
bertalian dengan perusahaan-perusahaan
pertanggungan oleh karena perusahaan-perusahaan
ini pada waktu ini ada dibawah kekuasaan Materi
Urusan Pendapatan, Pembiayaan dan Pengawasan."
Pasal 2.,"Ayat (1) :Menteri yang bersangkutan berwenang menentukan
komposisi penanaman dana-dana investasi yang
tersedia dari perusahaan/badan sedemikian rupa
sehingga disatu fihak dapat dicapai penyaluran
dana-dana kearah yang diinginkan oleh Pemerintah
dalam rangka pembangunan ekonomi pada umumnya dan
khususnya Pembangunan Nasional Semesta Berencana
dan dilain fihak tetap menjamin perkembangan
usaha-usaha Perusahaan/badan yang bersangkutan
yang sehat dengan memperhatikan norma-norma dan
syarat-syarat ekonomi perusahaan yang sehat.
Sebagai persiapan untuk mencapai maksud ini
Menteri yang bersangkutan diberi wewenang untuk
mendaftarkan perusahaan/badan yang akan dikenakan
peraturan ini dan lain-lain tindakan yang
diperlukan.

Ayat (2) :Berbagai obyek penanaman tersebut dalam ayat (2) dan
ketentuan mengenai kertas perbendaharaan Negara
tersebut dalam ayat (3) memungkinkan diberikan
syarat-syarat (jangka waktu, balas jasa dan
penguangan kembali) yang menjamin kontinuited dan
likwiditet perusahaan/badan yang bersangkutan dan
pemupukan simpanan dan akumulasi modal yang
seimbang dan seirama dengan Pembangunan Negara."
Pasal 3.,Tidak diperlukan penjelasan.
Pasal 4.,"Ketentuan ini dimaksudkan agar dana-dana investasi milik
perusahaan/badan yang kantor pusatnya ada diluar Indonesia, tidak
dapat menghindarkan diri dari kewajiban-kewajiban yang ditetapkan
dalam peraturan ini. Mereka yang mengurus dan menguasai dana-dana
itu atas nama pemiliknya harus berusaha mendapat kuasa secukupnya
untuk dapat memenuhi kewajiban-kewajiban itu."
Pasal 5.,"Ketentuan ini dimaksudkan untuk menjaga jangan sampai
perusahaan/badan yang terkena oleh peraturan ini mengadakan,
perjanjian-perjanjian yang dimaksudkan untuk menyelundupi
peraturan ini."
Pasal 6.,"Jika dipandang perlu penggunaan dana-dana investasi oleh
perusahaan/badan tertentu yang terkena peraturan ini dapat segera
ditertibkan menurut ketentuan-ketentuan dalam peraturan ini."
Pasal 7.,"Ayat (1) :Agar Undang-undang ini dapat mencapai maksudnya
sepenuhnya, maka disamping ancaman hukumannya
terhadap pengurus perusahaan sebagaimana
ditetapkan dalam pasal 10, kepada Menteri yang
bersangkutan perlu diberi wewenang untuk dalam hal
pengurus perusahaan/badan yang bersangkutan tidak
membantu pelaksanaan peraturan dapat menguasai
jumlah-jumlah yang bersangkutan untuk dipergunakan
menurut ketentuan-ketentuan dalam peraturan ini.

Ayat (2) :Untuk mempercepat pelaksanaan, maka penagihan jumlah-
jumlah yang bersangkutan perlu dilaksanakan dengan
surat-kuasa yang memberikan hak pelaksanaan dengan
surat-kuasa yang memberi hak pelaksanaan langsung
terhadap barang-barang milik perusahaan yang
bersangkutan tanpa putusan hakim. Dengan demikian,
jalan yang panjang melalui Pengadilan Negeri dapat
dihindarkan. Hal ini tidak berarti bahwa hak-hak
dari yang bersangkutan akan dirugikan atau
diabaikan. Menurut prosedur yang ditetapkan dalam"
Pasal 8.,Tidak memerlukan penjelasan.
Pasal 9.,"Sebagai prosedure pelaksanaan penagihan dipilih prosedure
sebagaimana ditetapkan dalam pasal 6 sampai dengan pasal 23
Undang-undang No. 19 tahun 1959.
Hal ini dilakukan, karena pada suatu pihak prosedur tersebut
memungkinan pelaksanaan dengan cepat sedangkan dilain pihak cukup
menjamin hak-hak dari yang bersangkutan.
Dengan sendirinya ketentuan-ketentuan termaksud disesuaikan
dengan bunyi Peraturan Pemerintah Pengganti Undang-undang ini."
Pasal 10.,"(1)Pengurus perusahaan/badan yang tidak memenuhi kewajiban-
kewajiban yang ditentukan dalam atau berdasarkan Peraturan
Pemerintah Pengganti Undang-undang ini dapat dijatuhi
hukuman penjara selama-lamanya 2 tahun dan/atau hukuman
denda setinggi-tingginya satu juta rupiah.
(2)Hal-hal yang dapat dijatuhi hukuman menurut ayat (1) pasal ini
dianggap sebagai kejahatan."
Pasal 11.,"Hal-hal yang belum cukup diatur dalam Peraturan Pemerintah
Pengganti Undang-undang ini ditetapkan oleh Menteri yang
bersangkutan."
Pasal 12.,"Peraturan Pemerintah Pengganti Undang-undang ini mulai
berlaku pada tanggal 3 Agustus 1962.

Agar supaya setiap orang mengetahuinya, memerintahkan
pengundangan Peraturan Pemerintah Pengganti Undang-undang ini
dengan penempatan dalam Lembaran-Negara Republik Indonesia.


Ditetapkan di Jakarta
pada tanggal 3 Agustus 1962.
Presiden Republik Indonesia,

ttd.

SUKARNO.

Diundangkan di Jakarta
pada tanggal 3 Agustus 1962.

ttd.

Sekretaris Negara,
MOHD. ICHSAN.


PENJELASAN
PERATURAN PEMERINTAH PENGGANTI UNDANG-
UNDANG No. 7 TAHUN 1962
tentang
PENGGUNAAN DAN PENGAWASAN ATAS PENGGUNAAN
DANA-DANA INVESTASI.

UMUM.

Sebagaimana diinstruksikan oleh Presiden/Panglima Besar
Komando Tertinggi Operasi Ekonomi dalam instruksinya No. Instr.
2/Ko. T.O.E. tahun 1962 tentang memperkuat Front Ekonomi 1962
maka untuk kepentingan usaha-usaha pembangunan Negara perlulah
sebanyak mungkin daya-beli yang ada pada masyarakat disalurkan
kepada tujuan-tujuan yang produktip. Dan pada saat Negara
menghadapi beban-beban pembiayaan untuk keperluan pembangunan,
maka penyaluran daya beli yang demikian itu perlu pula
disesuaikan dengan kepentingan-kepentingan umum yang lebih
mendesak.
Adalah tidak dapat dimungkiri bahwa pada perusahaan-
perusahaan pada umumnya dan badan-badan yang lazim disebut
penanaman-penanaman modal institusional seperti dana-dana
Pensiun, dana-dana Sosial, Perusahaan-perusahaan Pertanggungan,
Bank-bank Tabungan dan lain sebagainya terdapat akumulasi-
akumulasi keuangan yang dipupuk dengan tujuan-tujuan tertentu.
Dan sementara dana-dana ini belum segera diperlukan untuk
memenuhi tujuan pemupukannya, maka dana-dana tersebut seharusnya
diperbungakan dengan pelbagai cara yang dianggap paling tepat
bagi perusahaan atau badan yang bersangkutan.
Dalam pada itu kenyataan menunjukkan pula bahwa dalam usaha
mengejar keuntungan yang sebesar-besarnya tidak jarang dana-dana
ini perbungakan dengan cara yang tidak sesuai dengan maksud
pemupukannya, misalnya dipergunakan untuk perkreditan. Hal ini
tidak saja mengganggu pelaksanaan kebijaksanaan Pemerintah dalam
usahanya mengembangkan perkriditan yang sehat sebagaimana
digariskan dalam Peraturan Pemerintah No. 1 tahun 1955 melainkan
dapat membahayakan pula kepentingan-kepentingan yang seharusnya
dilindungi oleh pemupukan dana-dana itu misalnya berhubung dengan
kesulitan-kesulitan dengan pihak debitur, suatu perusahaan
pertanggungan pada suatu ketika tidak dapat memenuhi kewajibannya
terhadap pihak tertanggung karena dana yang dipupuk untuk
keperluan itu tidak tersedia pada waktu diperlukan atau
perusahaan tidak dapat memenuhi kewajibannya karena dana
cadangannya tidak tersedia pada waktu diperlukan.
Peraturan Pemerintah Pengganti Undang-undang ini dimaksudkan
untuk memberikan wewenang secukupnya kepada Menteri-menteri
seperti dimaksud guna mengatur penggunaan dan pengawasan atas
penggunaan dari dana-dana semacam itu sedemikian rupa, hingga
disatu pihak dana-dana itu dapat disalurkan kepada tujuan-tujuan
yang produktif sesuai dengan keperluan pembangunan Negara, tetapi
dilain pihak keamanan kepentingan-kepentingan yang harus
dilindungi dengan pemupukan dana-dana itu dapat tetap dijamin
dengan sebaik-baiknya.

PASAL DEMI PASAL."
"pasal 6 hingga pasal 23 Undang-undang No. 19/1959,",hak-hak dari yang bersangkutan cukup terjamin.
"Pasal 1O, 11 dan 12.","Tidak memerlukan penjelasan.


Diketahui
Sekretaris Negara

MOHD. ICHSAN.

--------------------------------

CATATAN

Kutipan:LEMBARAN NEGARA DAN TAMBAHAN LEMBARAN NEGARA TAHUN 1962
YANG TELAH DICETAK ULANG

Sumber:LN 1962/7; TLN NO.2468"
